"sn","hour_utc","pm25","pm25_cal","pm10","pm1","o3","o3_cal","co","no2","rh","temp","n_obs","pm_status","hour_complete"
"MOD-00546","2026-07-30 00:00:00",3.09633333333333,2.21180361666667,5.28383333333333,2.67283333333333,50.775,0.037807215,559.649166666667,8.31066666666666,20.8066666666667,43.4816666666667,60,"ok",TRUE
"MOD-00546","2026-07-30 01:00:00",2.40666666666667,2.09700641666667,4.69383333333333,1.95116666666667,50.3088333333333,0.0373547536333333,736.762333333334,12.1695,25.4133333333333,40.15,60,"ok",TRUE
"MOD-00546","2026-07-30 02:00:00",2.97683333333333,2.77708863333333,5.03716666666667,2.47683333333333,47.7441666666667,0.0348654881666667,795.256166666666,10.8715,31.83,36.87,60,"ok",TRUE
"MOD-00546","2026-07-30 03:00:00",3.39983333333333,3.29598185,5.27833333333333,2.9225,42.0031666666667,0.0292932735666667,808.025833333333,8.48216666666667,36.1916666666667,33.9233333333334,60,"ok",TRUE
"MOD-00546","2026-07-30 04:00:00",3.128,3.36852878333333,6.0715,2.50266666666667,31.693,0.0192862258,651.571166666667,6.27916666666666,30.9433333333333,34.0066666666667,60,"ok",TRUE
"MOD-00546","2026-07-30 05:00:00",3.79366666666667,3.7918958,7.84166666666667,3.1575,34.3583333333333,0.0218731983333333,689.743166666666,6.29083333333334,36.7716666666667,32.785,60,"ok",TRUE
"MOD-00546","2026-07-30 06:00:00",3.92733333333333,3.99362566666667,7.53266666666667,3.3105,33.689,0.0212235434,645.522333333334,5.69166666666667,37.0233333333333,31.76,60,"ok",TRUE
"MOD-00546","2026-07-30 07:00:00",4.35483333333333,4.45299838333333,8.12433333333333,3.64516666666667,29.0748333333333,0.0167450332333333,656.997,5.90933333333333,40.37,30.43,60,"ok",TRUE
"MOD-00546","2026-07-30 08:00:00",4.6005,4.75225716666666,9.03783333333334,3.816,27.9223333333333,0.0156264167333333,613.2685,5.91066666666666,39.5616666666667,29.98,60,"ok",TRUE
"MOD-00546","2026-07-30 09:00:00",4.46916666666667,4.60804946666667,10.4461666666667,3.60683333333333,28.0905,0.0157896393,564.544333333333,5.74333333333333,37.2633333333333,31.2183333333333,60,"ok",TRUE
"MOD-00546","2026-07-30 10:00:00",4.63366666666667,4.87667998333333,10.7685,3.66083333333333,30.626,0.0182505956,580.889,5.87916666666667,40.05,30.3033333333333,60,"ok",TRUE
"MOD-00546","2026-07-30 11:00:00",4.75583333333333,4.8836057,9.65816666666667,3.95466666666667,30.8543333333333,0.0184722159333333,593.007,5.9305,40.495,29.595,60,"ok",TRUE
"MOD-00546","2026-07-30 12:00:00",4.5765,4.59378934999999,7.969,3.9335,30.9276666666667,0.0185433932666667,569.444333333333,5.7815,39.83,30.08,60,"ok",TRUE
"MOD-00546","2026-07-30 13:00:00",4.92033333333333,4.77882191666666,9.5445,4.19166666666667,32.0238333333333,0.0196073326333333,628.981333333333,5.69666666666667,43.48,30.13,60,"ok",TRUE
"MOD-00546","2026-07-30 14:00:00",5.52933333333333,5.02222356666666,11.612,4.65716666666667,23.3405,0.0111792893,648.911166666667,5.83166666666667,42.3533333333333,32.4883333333333,60,"ok",TRUE
"MOD-00546","2026-07-30 15:00:00",4.8285,4.07557941666666,8.92766666666666,4.09166666666667,17.866,0.0058657396,438.594333333333,6.71483333333333,30.355,38.0383333333333,60,"ok",TRUE
